Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
2001-08-06,23.088949,17.043989,21.638327,12.314591,22.446362,20.999929,15.054907,21.503967000000003,16.875463
2001-08-07,23.349655,17.078139999999998,21.638327,12.446909,22.508710999999998,21.154394,14.944054999999999,21.382566,17.008297
2001-08-08,23.056358,17.009829,21.196436,12.195499,22.352829,20.963148,14.812416,20.69463,16.670679
2001-08-09,22.974885999999998,17.064484,21.32164,12.252836,22.251507,20.970503,14.680782999999998,20.702728,16.698349
2001-08-10,22.958593,17.125965,21.343723,12.261661,22.290487,21.36034,15.054907,20.670359,17.0249
2001-08-13,22.697885999999997,17.276245,21.446835999999998,12.248426,22.46195,21.161742999999998,15.103403,20.751286999999998,16.836721
2001-08-14,22.763063,17.248924,21.564678,12.252836,22.173569,21.176460000000002,15.034120000000001,20.484205,16.836721
2001-08-15,22.567532999999997,17.214766,21.888742,12.204322,21.869606,21.13233,15.117257999999998,20.022882,16.626402
2001-08-16,22.73863,17.38555,21.763538,12.169031,21.978724,21.124975,14.950982999999999,20.128107,16.809051999999998
2001-08-17,22.143888,17.392385,21.601505,11.988196,21.737116,20.867535,15.041045,19.5292,16.604263
2001-08-20,22.420883,17.371887,21.446835999999998,12.107282000000001,21.900791,20.852816,15.054907,19.658686,16.737097
2001-08-21,21.866882,17.529007,21.432112,11.957324,22.025485999999997,20.823397,15.124182000000001,19.084059,16.742632
2001-08-22,21.923903,17.604149,21.446835999999998,12.010243,21.939754,20.786613,15.089551,19.278301000000003,16.714954000000002
2001-08-23,21.809849,17.549505,21.638327,12.014664,22.056662,20.852816,15.207322,19.262117,16.676214
2001-08-24,22.225353,17.761267,21.815092,12.045539999999999,22.454145,21.235308,15.415172,20.200939,16.792444
2001-08-27,22.200914,17.727111999999998,21.785622,11.926453,22.173569,21.227947,15.442878,20.152384,16.836721
2001-08-28,22.013525,17.515345,21.557318,11.736792999999999,21.861816,20.823397,15.297386,19.593937,16.759235
2001-08-29,21.606171,17.248924,21.468937,11.630934,21.666967,20.683632,15.103403,19.221647,16.659618
2001-08-30,21.166229,17.324068,21.159603,11.551541,21.22271,20.301154999999998,15.047976,18.47706,16.465895
